,cost,reduced_scenario,probability
119,75266341.83247516,275.0,0.0
120,75728600.71881624,97.0,0.0
121,75198695.08029935,122.0,0.0
122,75214667.92921971,122.0,0.116
123,75203782.96179985,122.0,0.0
124,75120073.06479499,456.0,0.0
125,75182001.75017463,122.0,0.0
126,75486266.80299154,436.0,0.0
127,74911164.01918009,261.0,0.0
128,75592122.97309597,313.0,0.0
129,75175974.66138771,122.0,0.0
130,74671031.11651702,344.0,0.0
131,75115783.56783335,456.0,0.0
132,75436185.56969483,132.0,0.09000000000000001
133,75444863.52597077,132.0,0.0
134,75575570.14950307,313.0,0.0
135,75076715.29476553,456.0,0.0
136,75617896.34371291,313.0,0.0
137,75178729.51693827,122.0,0.0
138,74993499.26315638,167.0,0.0
139,74287495.99431518,229.0,0.0
140,75083618.05580834,456.0,0.0
141,74807648.42126772,141.0,0.07600000000000001
142,74650535.30149958,344.0,0.0
143,74680793.19218056,344.0,0.0
144,75358296.01505075,275.0,0.0
145,75566452.59605074,436.0,0.0
146,75273820.93914689,275.0,0.0
147,75067745.2709056,456.0,0.0
148,75312073.68940547,275.0,0.0
149,75253513.41063246,122.0,0.0
150,75126719.70249669,456.0,0.0
151,75137894.96059403,456.0,0.0
152,75317064.68148936,275.0,0.0
153,75520470.53759836,436.0,0.0
154,74954613.46454178,261.0,0.0
155,76159440.69161953,299.0,0.0
156,74945115.00308286,261.0,0.0
157,75452446.46187495,132.0,0.0
158,75350039.04513629,275.0,0.0
159,74667175.31985764,344.0,0.0
160,75033312.20623435,167.0,0.0
161,74859339.57146853,141.0,0.0
162,75811964.12664965,285.0,0.0
163,75921731.10109998,342.0,0.0
164,76078784.0207668,342.0,0.0
165,75153363.32653566,456.0,0.0
166,74906951.04827487,261.0,0.0
167,75001653.73860393,167.0,0.05800000000000001
168,75380817.952235,132.0,0.0
169,75731520.06564556,97.0,0.0
170,75329825.94908968,275.0,0.0
171,75150881.00085875,456.0,0.0
172,74802093.42537798,141.0,0.0
173,75605433.63060448,313.0,0.0
174,75652946.27407286,313.0,0.0
175,74655383.56953424,344.0,0.0
176,75420718.70360316,132.0,0.0
177,74767944.90437336,141.0,0.0
178,75297705.5993089,275.0,0.0
179,74955555.73343322,261.0,0.0
180,75579276.6780149,313.0,0.0
181,75200239.4106063,122.0,0.0
182,75150353.40087837,456.0,0.0
183,75038801.89407402,167.0,0.0
184,75809168.95963204,285.0,0.0
185,74689054.45716463,344.0,0.0
186,75290683.51890916,275.0,0.0
187,75673461.2844798,313.0,0.0
188,75242981.11361046,122.0,0.0
189,75516282.14127581,436.0,0.0
190,75180842.8300008,122.0,0.0
191,75678804.86884013,97.0,0.0
192,75054803.77750519,456.0,0.0
193,75911924.00998145,342.0,0.0
194,74957518.37431975,261.0,0.0
195,74867298.56096469,261.0,0.0
196,74926598.96923728,261.0,0.0
197,74772428.44408417,141.0,0.0
198,75443914.11299649,132.0,0.0
